query, lng, lat, toponymName, geonameId, name-en, countryId, countryName-en, name-et, countryName-et, name-ru, countryName-ru
"Africa", "21.09375", "7.1881", "Africa", "6255146", "Africa", "undefined", "undefined", "Aafrika", "undefined", "Африка", "undefined"
"Asia", "89.29688", "29.84064", "Asia", "6255147", "Asia", "undefined", "undefined", "Aasia", "undefined", "Азия", "undefined"
"Adavere", "25.89917", "58.70611", "Adavere", "592619", "Adavere", "453733", "Estonia", "Adavere", "Eesti", "Адавере", "Эстония"
"Aegviidu", "25.61417", "59.28583", "Aegviidu", "592611", "Aegviidu", "453733", "Estonia", "Aegviidu", "Eesti", "Аэгвийду", "Эстония"
"Afghanistan", "66", "33", "Islamic Republic of Afghanistan", "1149361", "Afghanistan", "1149361", "Afghanistan", "Afganistan", "Afganistan", "Афганистан", "Афганистан"
"Ahja", "27.04948", "58.20462", "Ahja vald", "7522438", "Ahja vald", "453733", "Estonia", "Ahja vald", "Eesti", "Ahja vald", "Эстония"
"Alabama", "-86.75026", "32.75041", "Alabama", "4829764", "Alabama", "6252001", "United States", "Alabama", "Ameerika Ühendriigid", "Алабама", "Сша"
"Alaska", "-150.00028", "64.00028", "Alaska", "5879092", "Alaska", "6252001", "United States", "Alaska", "Ameerika Ühendriigid", "Аляска", "Сша"
"Albania", "20", "41", "Republic of Albania", "783754", "Albania", "783754", "Albania", "Albaania", "Albaania", "Албания", "Албания"
"Alban", "-96.76797", "17.04435", "Monte Albán", "3523047", "Monte Albán", "3996063", "Mexico", "Monte Albán", "Mehhiko", "Монте-Альбан", "Мексика"
"Altenstadt", "10.11437", "48.1603", "Altenstadt", "2957468", "Altenstadt", "2921044", "Germany", "Altenstadt", "Saksamaa", "Альтенштадт", "Германия"
"Ambla", "25.83805", "59.15902", "Ambla vald", "7522442", "Ambla vald", "453733", "Estonia", "Ambla vald", "Eesti", "Ambla vald", "Эстония"
"Amsterdam", "4.88969", "52.37403", "Amsterdam", "2759794", "Amsterdam", "2750405", "Netherlands", "Amsterdam", "Madalmaad", "Амстердам", "Нидерланды"
"Annapolis", "-76.49218", "38.97845", "Annapolis", "4347242", "Annapolis", "6252001", "United States", "Annapolis", "Ameerika Ühendriigid", "Аннаполис", "Сша"
"Antsla", "26.53222", "57.86611", "Vana-Antsla", "587826", "Vana-Antsla", "453733", "Estonia", "Vana-Antsla", "Eesti", "Vana-Antsla", "Эстония"
"Argentina", "-64", "-34", "Argentine Republic", "3865483", "Argentina", "3865483", "Argentina", "Argentiina", "Argentiina", "Аргентина", "Аргентина"
"Arkhangelsk", "40.5433", "64.5401", "Arkhangel’sk", "581049", "Arkhangelsk", "2017370", "Russia", "Arkhangel’sk", "Venemaa", "Архангельск", "Россия"
"Arizona", "-111.50098", "34.5003", "Arizona", "5551752", "Arizona", "6252001", "United States", "Arizona", "Ameerika Ühendriigid", "Аризона", "Сша"
"Aru", "135.23071", "-6.04224", "Aru Sea", "8617690", "Aru Sea", "undefined", "undefined", "Aru Sea", "undefined", "Aru Sea", "undefined"
"Aseri", "26.8675", "59.45056", "Aseri", "592379", "Aseri", "453733", "Estonia", "Aseri", "Eesti", "Азерн", "Эстония"
"Augsburg", "10.89851", "48.37154", "Augsburg", "2954172", "Augsburg", "2921044", "Germany", "Augsburg", "Saksamaa", "Аугсбург", "Германия"
"Australia", "135", "-25", "Commonwealth of Australia", "2077456", "Australia", "2077456", "Australia", "Austraalia", "Austraalia", "Австралия", "Австралия"
"Austria", "13.33333", "47.33333", "Republic of Austria", "2782113", "Austria", "2782113", "Austria", "Austria", "Austria", "Австрия", "Австрия"
"Austria-Hungary", "20.78333", "48.1", "Miskolc", "717582", "Miskolc", "719819", "Hungary", "Miskolc", "Ungari", "Мишкольц", "Венгрия"
"Avinurme", "26.86417", "58.98222", "Avinurme", "592334", "Avinurme", "453733", "Estonia", "Avinurme vald", "Eesti", "Авинурме", "Эстония"
"Bad Wörishofen", "10.59666", "48.00674", "Bad Wörishofen", "2953313", "Bad Wörishofen", "2921044", "Germany", "Bad Wörishofen", "Saksamaa", "Бад-Вёрисхофен", "Германия"
"Baden", "8.23975", "48.7606", "Baden-Baden", "2953504", "Baden-Baden", "2921044", "Germany", "Baden-Baden", "Saksamaa", "Баден-Баден", "Германия"
"Bayern", "11.5", "49", "Bavaria", "2951839", "Bavaria", "2921044", "Germany", "Baieri", "Saksamaa", "Бавария", "Германия"
"Baltimore", "-76.61219", "39.29038", "Baltimore", "4347778", "Baltimore", "6252001", "United States", "Baltimore", "Ameerika Ühendriigid", "Балтимор", "Сша"
"Bamberg", "10.90067", "49.89873", "Bamberg", "2952984", "Bamberg", "2921044", "Germany", "Bamberg", "Saksamaa", "Бамберг", "Германия"
"San Francisco Bay Area", "-122.41942", "37.77493", "San Francisco", "5391959", "San Francisco", "6252001", "United States", "San Francisco", "Ameerika Ühendriigid", "Сан-Франциско", "Сша"
"Beaverton", "-122.80371", "45.48706", "Beaverton", "5713376", "Beaverton", "6252001", "United States", "Beaverton", "Ameerika Ühendriigid", "Бивертон", "Сша"
"Belgium", "4.5", "50.75", "Kingdom of Belgium", "2802361", "Belgium", "2802361", "Belgium", "Belgia", "Belgia", "Бельгия", "Бельгия"
"Berkeley", "-122.27275", "37.87159", "Berkeley", "5327684", "Berkeley", "6252001", "United States", "Berkeley", "Ameerika Ühendriigid", "Беркли", "Сша"
"Berlin", "13.41053", "52.52437", "Berlin", "2950159", "Berlin", "2921044", "Germany", "Berliin", "Saksamaa", "Берлин", "Германия"
"Bessarabia", "28.5", "47", "Bessarabia", "618569", "Bessarabia", "617790", "Moldova", "Bessarabia", "Moldova", "Bessarabia", "Молдова"
"Bethel", "-160.50056", "60.75056", "Bethel Census Area", "5880573", "Bethel Census Area", "6252001", "United States", "Bethel Census Area", "Ameerika Ühendriigid", "Бетел", "Сша"
"Bodensee", "8.97098", "47.74194", "Radolfzell am Bodensee", "2850954", "Radolfzell", "2921044", "Germany", "Radolfzell", "Saksamaa", "Радольфцелль", "Германия"
"Boizenburg", "10.72375", "53.38153", "Boizenburg", "2946821", "Boizenburg", "2921044", "Germany", "Boizenburg", "Saksamaa", "Бойценбург", "Германия"
"Bornhorst", "8.27571", "53.16727", "Klein Bornhorst", "2889689", "Klein Bornhorst", "2921044", "Germany", "Klein Bornhorst", "Saksamaa", "Klein Bornhorst", "Германия"
"Boston", "-71.05977", "42.35843", "Boston", "4930956", "Boston", "6252001", "United States", "Boston", "Ameerika Ühendriigid", "Бостон", "Сша"
"Botswana", "24", "-22", "Republic of Botswana", "933860", "Botswana", "933860", "Botswana", "Botswana", "Botswana", "Ботсвана", "Ботсвана"
"Brandenburg", "13.01582", "52.45905", "Brandenburg", "2945356", "Brandenburg", "2921044", "Germany", "Brandenburg", "Saksamaa", "Бранденбург", "Германия"
"Brasil", "-55", "-10", "Federative Republic of Brazil", "3469034", "Brazil", "3469034", "Brazil", "Brasiilia", "Brasiilia", "Бразилия", "Бразилия"
"Braunschweig", "10.52673", "52.26594", "Braunschweig", "2945024", "Brunswick", "2921044", "Germany", "Braunschweig", "Saksamaa", "Брауншвейг", "Германия"
"Bregenz", "9.7471", "47.50311", "Bregenz", "2781503", "Bregenz", "2782113", "Austria", "Bregenz", "Austria", "Брегенц", "Австрия"
"Bremerhaven", "8.57673", "53.55021", "Bremerhaven", "2944368", "Bremerhaven", "2921044", "Germany", "Bremerhaven", "Saksamaa", "Бремерхафен", "Германия"
"Bridgetown", "-59.62021", "13.10732", "Bridgetown", "3374036", "Bridgetown", "3374084", "Barbados", "Bridgetown", "Barbados", "Бриджтаун", "Барбадос"
"British Columbia", "-125.0032", "53.99983", "British Columbia", "5909050", "British Columbia", "6251999", "Canada", "Briti Columbia", "Kanada", "Британская Колумбия", "Канада"
"Bronx", "-73.86641", "40.84985", "The Bronx", "5110266", "Bronx", "6252001", "United States", "The Bronx", "Ameerika Ühendriigid", "Бронкс", "Сша"
"Brooklyn", "-73.94958", "40.6501", "Brooklyn", "5110302", "Brooklyn", "6252001", "United States", "Brooklyn", "Ameerika Ühendriigid", "Бруклин", "Сша"
"Brussels", "4.34878", "50.85045", "Brussels", "2800866", "Brussels", "2802361", "Belgium", "Brüssel", "Belgia", "Брюссель", "Бельгия"
"Bulgaria", "25.25", "42.66667", "Republic of Bulgaria", "732800", "Bulgaria", "732800", "Bulgaria", "Bulgaaria", "Bulgaaria", "Болгария", "Болгария"
"California", "-116.78467", "34.68743", "Southern California", "11071615", "Southern California", "6252001", "United States", "Southern California", "Ameerika Ühendriigid", "Southern California", "Сша"
"Cēsis", "25.27456", "57.31188", "Cēsis", "460570", "Cēsis", "458258", "Latvia", "Cēsis", "Läti", "Цесис", "Латвия"
"Chicago", "-87.65005", "41.85003", "Chicago", "4887398", "Chicago", "6252001", "United States", "Chicago", "Ameerika Ühendriigid", "Чикаго", "Сша"
"Cleveland", "-81.69541", "41.4995", "Cleveland", "5150529", "Cleveland", "6252001", "United States", "Cleveland", "Ameerika Ühendriigid", "Кливленд", "Сша"
"Colgate", "-103.89497", "49.39447", "Colgate", "5925250", "Colgate", "6251999", "Canada", "Colgate", "Kanada", "Colgate", "Канада"
"Connecticut", "-72.66648", "41.66704", "Connecticut", "4831725", "Connecticut", "6252001", "United States", "Connecticut", "Ameerika Ühendriigid", "Коннектикут", "Сша"
"Corpus Christi", "-97.39638", "27.80058", "Corpus Christi", "4683416", "Corpus Christi", "6252001", "United States", "Corpus Christi", "Ameerika Ühendriigid", "Корпус-Кристи", "Сша"
"Dachau", "11.43402", "48.26", "Dachau", "2939623", "Dachau", "2921044", "Germany", "Dachau", "Saksamaa", "Дахау", "Германия"
"Dallas", "-96.80667", "32.78306", "Dallas", "4684888", "Dallas", "6252001", "United States", "Dallas", "Ameerika Ühendriigid", "Даллас", "Сша"
"Gdansk", "18.64637", "54.35205", "Gdańsk", "3099434", "Gdańsk", "798544", "Poland", "Gdańsk", "Poola", "Гданьск", "Польша"
"Denver", "-104.9847", "39.73915", "Denver", "5419384", "Denver", "6252001", "United States", "Denver", "Ameerika Ühendriigid", "Денвер", "Сша"
"Detroit", "-83.04575", "42.33143", "Detroit", "4990729", "Detroit", "6252001", "United States", "Detroit", "Ameerika Ühendriigid", "Детройт", "Сша"
"Deventer", "6.16389", "52.255", "Deventer", "2756987", "Deventer", "2750405", "Netherlands", "Deventer", "Madalmaad", "Девентер", "Нидерланды"
"Dortmund", "7.466", "51.51494", "Dortmund", "2935517", "Dortmund", "2921044", "Germany", "Dortmund", "Saksamaa", "Дортмунд", "Германия"
"Dover", "-75.52437", "39.15817", "Dover", "4142290", "Dover", "6252001", "United States", "Dover", "Ameerika Ühendriigid", "Довер", "Сша"
"Dresden", "13.73832", "51.05089", "Dresden", "2935022", "Dresden", "2921044", "Germany", "Dresden", "Saksamaa", "Дрезден", "Германия"
"Dudinka", "86.17778", "69.40583", "Dudinka", "1507116", "Dudinka", "2017370", "Russia", "Dudinka", "Venemaa", "Дудинка", "Россия"
"Estonia", "26", "59", "Republic of Estonia", "453733", "Estonia", "453733", "Estonia", "Eesti", "Eesti", "Эстония", "Эстония"
"Estonian University of Life Sciences", "", "", "", "", "", "", "", "", "", "", ""
"Eger", "20.37329", "47.90265", "Eger", "721239", "Eger", "719819", "Hungary", "Eger", "Ungari", "Эгер", "Венгрия"
"Egypt", "30", "27", "Arab Republic of Egypt", "357994", "Egypt", "357994", "Egypt", "Egiptus", "Egiptus", "Египет", "Египет"
"Ellis Island", "143.69196", "-13.36766", "Ellis Island", "2167483", "Ellis Island", "2077456", "Australia", "Ellis Island", "Austraalia", "Ellis Island", "Австралия"
"Elva", "26.42111", "58.2225", "Elva", "592279", "Elva", "453733", "Estonia", "Elva", "Eesti", "Элва", "Эстония"
"Emmaste", "22.56902", "58.7912", "Emmaste vald", "7522267", "Emmaste vald", "453733", "Estonia", "Emmaste vald", "Eesti", "Emmaste vald", "Эстония"
"Europe", "28.38867", "51.72703", "Eastern Europe", "7729884", "Eastern Europe", "undefined", "undefined", "Eastern Europe", "undefined", "Восточная Европа", "undefined"
"Philippines", "122", "13", "Republic of the Philippines", "1694008", "Philippines", "1694008", "Philippines", "Filipiinid", "Filipiinid", "Филиппины", "Филиппины"
"Finow", "13.81951", "52.83492", "Eberswalde", "2933882", "Eberswalde", "2921044", "Germany", "Eberswalde", "Saksamaa", "Эберсвальде", "Германия"
"Flensburg", "9.43961", "54.78431", "Flensburg", "2926271", "Flensburg", "2921044", "Germany", "Flensburg", "Saksamaa", "Фленсбург", "Германия"
"Florida", "-82.5001", "28.75054", "Florida", "4155751", "Florida", "6252001", "United States", "Florida", "Ameerika Ühendriigid", "Флорида", "Сша"
"Frankfurt", "8.68417", "50.11552", "Frankfurt am Main", "2925533", "Frankfurt am Main", "2921044", "Germany", "Frankfurt", "Saksamaa", "Франкфурт-на-Майне", "Германия"
"Frankfurt am Oder", "", "", "", "", "", "", "", "", "", "", ""
"Fresno", "-119.77237", "36.74773", "Fresno", "5350937", "Fresno", "6252001", "United States", "Fresno", "Ameerika Ühendriigid", "Фресно", "Сша"
